algorithm,execution_time,peak_memory_mb,sorted_correctly,size,dataset
QuickSort,0.013957399999981135,0.04984283447265625,True,1000,Random Large Dataset
MergeSort,0.010979300000144576,0.03900146484375,True,1000,Random Large Dataset
HeapSort,0.012254400000074384,0.007930755615234375,True,1000,Random Large Dataset
ShellSort,0.025876700000026176,0.007823944091796875,True,1000,Random Large Dataset
QuickSort,0.01812659999995958,0.0757904052734375,True,2000,Random Large Dataset
MergeSort,0.026938399999835383,0.076507568359375,True,2000,Random Large Dataset
HeapSort,0.03197099999988495,0.015621185302734375,True,2000,Random Large Dataset
ShellSort,0.07191289999991568,0.015453338623046875,True,2000,Random Large Dataset
QuickSort,0.045898400000169204,0.17751312255859375,True,5000,Random Large Dataset
MergeSort,0.09327190000021801,0.19256591796875,True,5000,Random Large Dataset
HeapSort,0.1066873999998279,0.038631439208984375,True,5000,Random Large Dataset
ShellSort,0.25840189999962604,0.038372039794921875,True,5000,Random Large Dataset
QuickSort,0.10167730000011943,0.4181976318359375,True,10000,Random Large Dataset
MergeSort,0.2291059999997742,0.386444091796875,True,10000,Random Large Dataset
HeapSort,0.2559550999999374,0.07683944702148438,True,10000,Random Large Dataset
ShellSort,0.6299308000002384,0.07651901245117188,True,10000,Random Large Dataset
QuickSort,0.216102200000023,0.8856430053710938,True,20000,Random Large Dataset
MergeSort,0.5146982000001117,0.775390625,True,20000,Random Large Dataset
HeapSort,0.6020733000000291,0.15319442749023438,True,20000,Random Large Dataset
ShellSort,1.5007605000000694,0.15281295776367188,True,20000,Random Large Dataset
QuickSort,0.5463728999998239,1.828369140625,True,50000,Random Large Dataset
MergeSort,1.5222874000000957,1.94970703125,True,50000,Random Large Dataset
HeapSort,1.80705160000025,0.3821372985839844,True,50000,Random Large Dataset
ShellSort,4.466720299999906,0.3816947937011719,True,50000,Random Large Dataset
QuickSort,1.1436594000001605,2.9865570068359375,True,100000,Random Large Dataset
MergeSort,3.4039521999998215,3.815673828125,True,100000,Random Large Dataset
HeapSort,4.069425300000148,0.7636680603027344,True,100000,Random Large Dataset
ShellSort,10.966358899999705,0.7631645202636719,True,100000,Random Large Dataset
QuickSort,0.5684889999997722,1.832122802734375,True,50000,Random Large Dataset
MergeSort,1.5152130999999827,1.94970703125,True,50000,Random Large Dataset
HeapSort,1.81985160000022,0.3821372985839844,True,50000,Random Large Dataset
ShellSort,4.512258400000064,0.3816947937011719,True,50000,Random Large Dataset
QuickSort,0.5418322000000444,1.7019577026367188,True,50000,Nearly Sorted Dataset
MergeSort,0.9310001999997439,1.73480224609375,True,50000,Nearly Sorted Dataset
HeapSort,1.9283273999999437,0.3821372985839844,True,50000,Nearly Sorted Dataset
ShellSort,1.168059600000106,0.3816642761230469,True,50000,Nearly Sorted Dataset
QuickSort,0.0003467000001364795,0.00228118896484375,True,50,Small Dataset
MergeSort,0.0003556000001481152,0.001922607421875,True,50,Small Dataset
HeapSort,8.269999989352073e-05,0.000457763671875,True,50,Small Dataset
ShellSort,5.239999973127851e-05,0.000457763671875,True,50,Small Dataset
QuickSort,0.04785760000004302,1.6923828125,True,50000,Integer Limited Range (1-100)
MergeSort,1.5074383999999554,1.94970703125,True,50000,Integer Limited Range (1-100)
HeapSort,1.7767355999999381,0.3821372985839844,True,50000,Integer Limited Range (1-100)
ShellSort,2.5882274000000507,0.3816947937011719,True,50000,Integer Limited Range (1-100)
QuickSort,0.5644234999999753,1.7205047607421875,True,50000,Floating-Point Dataset
MergeSort,1.5037093000000823,1.94970703125,True,50000,Floating-Point Dataset
HeapSort,1.8073213000002397,0.3821372985839844,True,50000,Floating-Point Dataset
ShellSort,4.615208900000198,0.3816947937011719,True,50000,Floating-Point Dataset
