density_percent,BFS,DFS_Iterative,lower_memory_algorithm,memory_ratio
0,43.59375,42.7734375,DFS_Iterative,1.0191780821917809
5,43.25,88.6171875,BFS,2.0489523121387285
10,43.1875,141.703125,BFS,3.2811143270622285
15,43.125,186.484375,BFS,4.324275362318841
20,43.125,250.265625,BFS,5.803260869565217
25,43.09375,292.109375,BFS,6.778462654097172
30,43.09375,341.046875,BFS,7.914068165337201
35,43.09375,400.609375,BFS,9.296229151559102
40,43.09375,446.171875,BFS,10.3535170413343
45,43.09375,497.4375,BFS,11.543147208121827
50,43.09375,555.109375,BFS,12.881435823060189
55,43.09375,585.640625,BFS,13.589920232052211
60,43.09375,654.328125,BFS,15.183828861493836
65,43.09375,731.609375,BFS,16.977157360406093
70,43.09375,775.078125,BFS,17.985859318346627
75,43.09375,818.546875,BFS,18.994561276287165
80,43.09375,867.46484375,BFS,20.129713560551124
85,43.09375,916.359375,BFS,21.2643219724438
90,43.09375,971.375,BFS,22.540971718636694
95,43.09375,1026.390625,BFS,23.817621464829585
100,43.09375,1088.28125,BFS,25.253807106598984
