 density_percent      BFS  DFS_Iterative lower_memory_algorithm  memory_ratio
               0 43.59375      42.773438          DFS_Iterative      1.019178
               5 43.25000      88.617188                    BFS      2.048952
              10 43.18750     141.703125                    BFS      3.281114
              15 43.12500     186.484375                    BFS      4.324275
              20 43.12500     250.265625                    BFS      5.803261
              25 43.09375     292.109375                    BFS      6.778463
              30 43.09375     341.046875                    BFS      7.914068
              35 43.09375     400.609375                    BFS      9.296229
              40 43.09375     446.171875                    BFS     10.353517
              45 43.09375     497.437500                    BFS     11.543147
              50 43.09375     555.109375                    BFS     12.881436
              55 43.09375     585.640625                    BFS     13.589920
              60 43.09375     654.328125                    BFS     15.183829
              65 43.09375     731.609375                    BFS     16.977157
              70 43.09375     775.078125                    BFS     17.985859
              75 43.09375     818.546875                    BFS     18.994561
              80 43.09375     867.464844                    BFS     20.129714
              85 43.09375     916.359375                    BFS     21.264322
              90 43.09375     971.375000                    BFS     22.540972
              95 43.09375    1026.390625                    BFS     23.817621
             100 43.09375    1088.281250                    BFS     25.253807
