density_percent,BFS,DFS_Iterative,faster_algorithm,speed_ratio
0,0.6547500001943263,1.2749500001518754,BFS,1.947231767504356
5,1.4483999998446961,3.1895500001155597,BFS,2.2021195805423623
10,2.066699999886623,4.714299999704963,BFS,2.2810761116579976
15,2.839649999714311,6.254750000152853,BFS,2.202648213963737
20,3.2988499997372855,8.014000000002852,BFS,2.4293314338757668
25,4.180649999852903,9.216200000082608,BFS,2.204489732555196
30,5.16315000004397,10.918600000422884,BFS,2.1147167911700997
35,5.965150000065478,13.722550000238698,BFS,2.300453467236879
40,6.401650000043446,15.452600000571692,BFS,2.4138464302901315
45,7.496800000353687,17.46084999967934,BFS,2.3291070855372378
50,8.207149999634566,18.753100000139966,BFS,2.2849710314756
55,9.443899999496352,21.46500000026208,BFS,2.27289573178526
60,9.781749999547174,23.339199999554694,BFS,2.3859943262335612
65,10.370749999765394,26.62045000033686,BFS,2.566877998306686
70,12.006550000023708,28.029550000155723,BFS,2.3345215736494143
75,12.159599999904458,28.962500000034197,BFS,2.3818628902481795
80,12.261750000106986,33.008649999828776,BFS,2.692001549496668
85,12.942800000018906,34.508650000589114,BFS,2.6662430077370205
90,14.568250000138505,36.68835000007675,BFS,2.518377293067317
95,15.539100000296457,40.244799999982206,BFS,2.5899054642298722
100,16.077100000529754,41.93384999962291,BFS,2.6082968942309965
