 density_percent      BFS  DFS_Iterative faster_algorithm  speed_ratio
               0  0.65475        1.27495              BFS     1.947232
               5  1.44840        3.18955              BFS     2.202120
              10  2.06670        4.71430              BFS     2.281076
              15  2.83965        6.25475              BFS     2.202648
              20  3.29885        8.01400              BFS     2.429331
              25  4.18065        9.21620              BFS     2.204490
              30  5.16315       10.91860              BFS     2.114717
              35  5.96515       13.72255              BFS     2.300453
              40  6.40165       15.45260              BFS     2.413846
              45  7.49680       17.46085              BFS     2.329107
              50  8.20715       18.75310              BFS     2.284971
              55  9.44390       21.46500              BFS     2.272896
              60  9.78175       23.33920              BFS     2.385994
              65 10.37075       26.62045              BFS     2.566878
              70 12.00655       28.02955              BFS     2.334522
              75 12.15960       28.96250              BFS     2.381863
              80 12.26175       33.00865              BFS     2.692002
              85 12.94280       34.50865              BFS     2.666243
              90 14.56825       36.68835              BFS     2.518377
              95 15.53910       40.24480              BFS     2.589905
             100 16.07710       41.93385              BFS     2.608297
