 density_percent     algorithm  samples  unique_nodes  min_time_ms  median_time_ms  max_time_ms
               0           BFS     2000           100       0.0069         0.65475      14.5417
               0 DFS_Iterative     2000           100       0.0069         1.27495      15.5636
               5           BFS     2000           100       0.0067         1.44840      35.5110
               5 DFS_Iterative     2000           100       0.0139         3.18955      42.0279
              10           BFS     2000           100       0.0063         2.06670      40.8115
              10 DFS_Iterative     2000           100       0.0134         4.71430      93.8113
              15           BFS     2000           100       0.0064         2.83965      56.4158
              15 DFS_Iterative     2000           100       0.0138         6.25475     139.5728
              20           BFS     2000           100       0.0134         3.29885     109.2191
              20 DFS_Iterative     2000           100       0.0138         8.01400     118.3136
              25           BFS     2000           100       0.0131         4.18065      58.4633
              25 DFS_Iterative     2000           100       0.0071         9.21620     239.0000
              30           BFS     2000           100       0.0064         5.16315      93.5442
              30 DFS_Iterative     2000           100       0.0070        10.91860     185.8705
              35           BFS     2000           100       0.0068         5.96515     143.4288
              35 DFS_Iterative     2000           100       0.0070        13.72255     195.5091
              40           BFS     2000           100       0.0064         6.40165     176.9552
              40 DFS_Iterative     2000           100       0.0073        15.45260     163.4882
              45           BFS     2000           100       0.0131         7.49680     174.6145
              45 DFS_Iterative     2000           100       0.0071        17.46085     195.5010
              50           BFS     2000           100       0.0065         8.20715     195.1208
              50 DFS_Iterative     2000           100       0.0069        18.75310     278.7751
              55           BFS     2000           100       0.0066         9.44390     105.6764
              55 DFS_Iterative     2000           100       0.0141        21.46500     308.7790
              60           BFS     2000           100       0.0064         9.78175     211.5094
              60 DFS_Iterative     2000           100       0.0080        23.33920     287.0022
              65           BFS     2000           100       0.0128        10.37075     246.0415
              65 DFS_Iterative     2000           100       0.0071        26.62045     315.2483
              70           BFS     2000           100       0.0126        12.00655     193.0926
              70 DFS_Iterative     2000           100       0.0072        28.02955     308.0731
              75           BFS     2000           100       0.0128        12.15960     283.4936
              75 DFS_Iterative     2000           100       0.0071        28.96250     287.2011
              80           BFS     2000           100       0.0065        12.26175     223.5188
              80 DFS_Iterative     2000           100       0.0069        33.00865     300.3676
              85           BFS     2000           100       0.0065        12.94280     202.8833
              85 DFS_Iterative     2000           100       0.0069        34.50865     315.5482
              90           BFS     2000           100       0.0067        14.56825     205.6762
              90 DFS_Iterative     2000           100       0.0070        36.68835     350.8677
              95           BFS     2000           100       0.0064        15.53910     164.6008
              95 DFS_Iterative     2000           100       0.0070        40.24480     362.0638
             100           BFS     2000           100       0.0064        16.07710     203.0268
             100 DFS_Iterative     2000           100       0.0072        41.93385     398.6161
