algorithm,execution_time_ms,peak_memory_kb,vertices_visited,success,nodes,edges,density_percent,density_ratio,density_target_edges,graph_type,trial
DFS_Iterative,0.05309999960445566,0.4140625,2,True,2,1,0,0.0,1,Density Matrix (0%),1
DFS_Iterative,0.021099999685247894,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),2
DFS_Iterative,0.01680000059423037,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),3
DFS_Iterative,0.01559999964229064,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),4
DFS_Iterative,0.04399999943416333,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),5
DFS_Iterative,0.010599999768601265,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),6
DFS_Iterative,0.008999999408842996,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),7
DFS_Iterative,0.0073999999585794285,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),8
DFS_Iterative,0.007100000402715523,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),9
DFS_Iterative,0.0075000007200287655,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),10
DFS_Iterative,0.007599999662488699,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),11
DFS_Iterative,0.0070000005507608876,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),12
DFS_Iterative,0.007300000106624793,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),13
DFS_Iterative,0.007799999366397969,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),14
DFS_Iterative,0.007800000275892671,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),15
DFS_Iterative,0.0070000005507608876,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),16
DFS_Iterative,0.007300000106624793,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),17
DFS_Iterative,0.0068999997893115506,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),18
DFS_Iterative,0.007100000402715523,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),19
DFS_Iterative,0.006999999641266186,0.359375,2,True,2,1,0,0.0,1,Density Matrix (0%),20
BFS,0.042099999518541154,1.03125,2,True,2,1,0,0.0,1,Density Matrix (0%),1
BFS,0.019600000086938962,1.03125,2,True,2,1,0,0.0,1,Density Matrix (0%),2
BFS,0.015700000403739978,1.03125,2,True,2,1,0,0.0,1,Density Matrix (0%),3
