nodes,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
2,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125,1.03125
12,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625
22,3.625,3.625,3.5625,3.5625,3.5625,3.5625,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125
32,3.5625,3.5625,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125
42,3.625,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125
52,3.5625,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125
62,3.5625,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125,3.53125
72,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375,4.109375
82,12.109375,11.828125,11.703125,11.640625,11.640625,11.640625,11.578125,11.578125,11.578125,11.546875,11.578125,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875
92,12.109375,11.765625,11.640625,11.640625,11.578125,11.578125,11.578125,11.578125,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875
102,12.015625,11.703125,11.640625,11.578125,11.578125,11.578125,11.578125,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875
112,12.015625,11.640625,11.578125,11.578125,11.578125,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875
122,12.015625,11.703125,11.578125,11.578125,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875
133,11.921875,11.640625,11.578125,11.578125,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875
143,11.828125,11.640625,11.578125,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875
153,11.921875,11.640625,11.578125,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875
163,11.828125,11.640625,11.578125,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875,11.546875
173,11.921875,11.640625,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375
183,11.921875,11.640625,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375,11.59375
193,11.828125,11.59375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375,12.109375
203,11.828125,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375
213,11.828125,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375
223,11.921875,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375,12.359375
233,11.828125,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625,12.640625
