nodes,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
2,0.0130999997054459,0.0139500002660497,0.0067999999373569,0.00690000024405885,0.01414999996995895,0.0139500002660497,0.0103999996099446,0.014000000192027049,0.00765000004321335,0.014000000192027049,0.0141000000439817,0.009350000254926199,0.00869999985297905,0.014600000213249548,0.013350000244827149,0.0135999998747138,0.0068999997893115,0.00715000032869275,0.0141999998959363,0.0067999999373569,0.0069000006988062
12,0.0380500000574102,0.020150000182184102,0.01985000017157285,0.0402000000576663,0.02085000005536125,0.037750000046798945,0.034150000374211203,0.020899999981338548,0.0386000001526554,0.0283999997918726,0.02135000022462915,0.0218499999391497,0.0216500002352404,0.0235499996961152,0.022600000193051452,0.0222999997276929,0.0234499998441606,0.0230499999815947,0.024050000320130452,0.024000000394153148,0.04430000035426925
22,0.03385000036359995,0.03264999986640755,0.033150000035675406,0.03490000017336565,0.03470000001470905,0.0350000000253203,0.0369499998669198,0.06944999995539544,0.03689999994094245,0.0720499992894474,0.0384499994652287,0.039549999655719106,0.040400000671070246,0.0785499996709404,0.0408000000788888,0.0411500000154774,0.0418999998146318,0.04259999968780895,0.0434000003224355,0.0442000000475673,0.0450500001534237
32,0.0435999995715974,0.04399999988891065,0.04554999986794425,0.0469499996142985,0.04810000018551355,0.05454999973153455,0.0534999999217689,0.05335000014383695,0.05564999992202495,0.05575000022872695,0.06004999931974445,0.061050000567774945,0.0615999997535254,0.06295000002864976,0.06374999975378155,0.08815000001050065,0.0667500003146415,0.07780000032653331,0.06915000039953151,0.072300000283576,0.07279999999809661
42,0.05409999994299135,0.05765000014434915,0.060800000483141,0.06220000022949525,0.0668000002406188,0.0685000004523317,0.0724999999874853,0.07320000031540985,0.0760500001888431,0.0788000002103217,0.15230000008159544,0.0840000002426677,0.08614999978817645,0.0879999997778213,0.09124999996856781,0.09385000021211451,0.0949499994931102,0.09770000042408356,0.10089999977935801,0.1040000006469199,0.10595000003377206
52,0.06400000029316286,0.0698499998179613,0.07295000023077586,0.07940000068629155,0.08200000002034355,0.0852000002851127,0.08974999991551155,0.0936000005822279,0.1072000000021944,0.10394999981144784,0.11325000014039685,0.11395000046832135,0.11449999965407184,0.12110000034226684,0.13209999997343397,0.12470000001485455,0.12734999972963118,0.1326500000686792,0.1363999999739462,0.1428499999747146,0.14484999974229135
62,0.07560000040029985,0.11040000026696356,0.0887999995029531,0.09344999989480124,0.09935000025507175,0.1049000002240063,0.11279999944235895,0.11674999996102994,0.1219000000673986,0.12904999994134408,0.13824999996359105,0.14295000028141655,0.14765000014449464,0.15024999947854664,0.1547500000924628,0.16354999979739654,0.1821500004552945,0.17235000041182502,0.17745000013746898,0.18360000012762606,0.19240000028730714
72,0.0877500001479347,0.0975000002654269,0.1065999995262245,0.1211499998134968,0.12104999996154214,0.23255000041899615,0.14145000022836024,0.1480000000810832,0.15275000032488606,0.156750000314787,0.1750500005073263,0.17465000019001303,0.1820999996198224,0.19030000021302834,0.2031499998338404,0.20430000040505547,0.2128500000253552,0.2198999995925987,0.2296999996360682,0.2377000000706175,0.2521500000511878
82,0.10490000022400635,0.11159999985466125,0.23375000000669383,0.1393999996253114,0.14415000032386155,0.15450000000782885,0.16475000029458892,0.17395000031683588,0.18439999985275785,0.20344999984445164,0.218950000089535,0.2105999997183971,0.2296000002388609,0.2318499996363243,0.24715000017749839,0.2500000000509317,0.2597500006231712,0.27409999984229216,0.28049999991708313,0.29485000004569883,0.3000499996232974
92,0.11290000020380825,0.12525000011009974,0.13914999999542485,0.15174999998635025,0.1634499999454419,0.1745500003380584,0.18860000000131544,0.2052499999081192,0.2182500002163578,0.22865000028104987,0.24344999974346138,0.2549000000726664,0.26099999968209886,0.2746999998635147,0.2933500004473899,0.2981499997076753,0.31614999988960335,0.33399999983885204,0.3439500001150009,0.35459999980957946,0.3689499994834477
102,0.12204999984533055,0.15359999997599516,0.29785000015181134,0.17695000042294845,0.1887499997792474,0.2024500004154106,0.21679999963453156,0.2638500004650268,0.25635000019974535,0.27440000030765077,0.27825000006487244,0.2991999999721883,0.31919999992169323,0.33894999978656415,0.3386000003047229,0.3583000002436165,0.3823499996542523,0.3973500001848151,0.40149999995264807,0.4216499996800849,0.43404999996710103
