nodes,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
2,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
12,0.984375,1.015625,1.078125,1.046875,1.078125,1.078125,1.140625,1.140625,1.140625,1.203125,1.203125,1.203125,1.265625,1.265625,1.265625,1.359375,1.359375,1.359375,1.359375,1.453125,1.453125
22,2.9609375,3.0234375,3.0859375,3.2109375,3.3046875,3.3984375,3.4921875,3.4921875,3.6171875,3.6171875,3.7421875,3.8984375,4.0546875,4.0546875,4.0546875,4.2421875,4.2421875,4.4609375,4.4609375,4.4609375,4.7109375
32,2.9609375,3.1484375,3.3046875,3.3984375,3.6171875,3.7421875,3.8984375,4.0546875,4.2421875,4.4609375,4.7109375,4.7109375,4.9921875,4.9921875,5.328125,5.328125,5.703125,5.703125,6.140625,6.140625,6.640625
42,3.0234375,3.3046875,3.4921875,3.7421875,4.078125,4.546875,4.828125,5.140625,5.484375,5.859375,6.296875,6.296875,6.796875,7.359375,7.359375,7.984375,7.984375,8.671875,8.671875,9.453125,9.453125
52,3.0234375,3.328125,3.890625,4.296875,4.828125,5.484375,5.859375,6.296875,6.796875,7.359375,7.984375,8.671875,9.453125,9.453125,10.328125,10.328125,11.328125,11.328125,12.453125,12.453125,13.703125
62,2.9609375,3.671875,4.390625,5.234375,5.953125,6.890625,7.453125,8.078125,8.765625,9.546875,10.421875,11.421875,11.421875,12.546875,13.796875,13.796875,15.203125,15.203125,16.796875,16.796875,18.578125
72,3.0234375,3.921875,5.015625,6.046875,6.984375,8.171875,8.859375,10.515625,11.515625,12.640625,13.890625,13.890625,15.296875,16.890625,16.890625,18.671875,18.671875,20.671875,20.671875,22.921875,22.921875
82,10.8671875,12.1484375,13.5546875,14.8671875,16.0546875,17.5234375,19.3984375,20.5234375,21.7734375,23.1796875,24.7734375,24.7734375,26.5546875,28.5546875,28.5546875,30.8046875,33.3359375,33.3359375,36.1796875,36.1796875,36.1796875
92,10.8984375,12.6171875,13.9296875,16.0546875,17.5234375,19.3984375,20.5234375,23.1796875,24.7734375,26.5546875,26.796875,28.5546875,30.8046875,33.3359375,33.3359375,36.1796875,37.640625,39.3984375,41.265625,43.0234375,43.0234375
102,10.8671875,12.8984375,14.8671875,16.7421875,18.3984375,20.5234375,23.1796875,24.7734375,26.921875,29.171875,30.8046875,33.3359375,34.546875,37.765625,39.3984375,41.390625,43.0234375,45.453125,47.0859375,50.015625,51.6484375
112,10.9296875,13.2109375,15.4296875,17.5234375,20.5234375,23.1796875,25.078125,27.078125,29.328125,31.859375,34.703125,37.921875,41.546875,41.546875,45.609375,47.0859375,50.171875,51.6484375,55.328125,56.8046875,61.109375
122,10.9296875,13.5546875,16.0546875,18.3984375,21.7734375,25.078125,27.078125,29.328125,34.703125,37.921875,37.921875,41.546875,45.609375,50.171875,50.171875,55.328125,55.328125,61.109375,61.109375,67.609375,67.609375
133,10.9296875,13.9296875,17.078125,20.453125,23.453125,27.234375,32.015625,34.859375,38.078125,41.703125,45.765625,50.328125,50.328125,55.484375,61.265625,61.265625,67.765625,67.765625,75.078125,75.078125,83.328125
143,10.9296875,14.3671875,18.078125,21.859375,25.234375,29.484375,34.859375,38.078125,41.703125,45.765625,50.328125,55.484375,61.265625,61.265625,67.765625,75.078125,75.078125,83.328125,83.328125,92.609375,92.609375
153,10.9296875,14.8671875,19.390625,23.640625,29.671875,32.203125,38.265625,41.890625,45.953125,50.515625,55.671875,61.453125,67.953125,75.265625,75.265625,83.515625,83.515625,92.796875,92.796875,103.234375,103.234375
163,10.9609375,15.4296875,20.640625,25.421875,32.203125,38.265625,41.890625,45.953125,50.515625,55.671875,61.453125,67.953125,75.265625,83.515625,83.515625,92.796875,92.796875,103.234375,103.234375,114.984375,114.984375
173,10.9609375,15.828125,22.265625,27.640625,35.265625,42.109375,46.171875,50.734375,55.890625,61.671875,68.171875,75.484375,83.734375,93.015625,93.015625,103.453125,103.453125,115.203125,115.203125,128.421875,128.421875
183,10.9921875,16.609375,23.859375,29.890625,38.484375,42.109375,50.734375,55.890625,61.671875,68.171875,75.484375,83.734375,93.015625,103.453125,103.453125,115.203125,115.203125,128.421875,128.421875,143.265625,143.265625
193,10.9921875,17.484375,25.640625,32.421875,42.109375,46.171875,55.890625,61.671875,68.171875,75.484375,83.734375,93.015625,103.453125,103.453125,115.203125,128.421875,128.421875,143.265625,143.265625,159.984375,159.984375
203,10.8671875,18.734375,27.890625,35.515625,42.359375,50.984375,61.921875,68.421875,75.734375,83.984375,93.265625,103.703125,115.453125,115.453125,128.671875,143.515625,143.515625,160.234375,160.234375,179.046875,179.046875
213,10.9609375,19.859375,27.890625,38.734375,46.421875,56.140625,68.421875,75.734375,83.984375,93.265625,103.703125,115.453125,115.453125,128.671875,143.515625,143.515625,160.234375,160.234375,179.046875,179.046875,200.203125
223,10.9609375,19.859375,30.140625,42.359375,50.984375,61.921875,68.421875,83.984375,93.265625,103.703125,115.453125,128.671875,128.671875,143.515625,160.234375,160.234375,179.046875,179.046875,200.203125,200.203125,224.015625
