  graph_type     algorithm  nodes  median_time_ms  median_memory_kb  median_vertices_visited    edges  density_percent  success_rate
density_fill BFS_Optimized     10          0.0326          1.898438                     10.0     22.0             50.0           1.0
density_fill BFS_Optimized     50          0.1598          3.804688                     50.0    612.0             50.0           1.0
density_fill BFS_Optimized    100          0.5767         11.820312                    100.0   2475.0             50.0           1.0
density_fill BFS_Optimized    200          1.4563         12.382812                    200.0   9950.0             50.0           1.0
density_fill BFS_Optimized    500          8.2351         43.367188                    500.0  62375.0             50.0           1.0
density_fill BFS_Optimized   1000         37.3894         49.601562                   1000.0 249750.0             50.0           1.0
density_fill DFS_Optimized     10          0.0767          1.351562                     10.0     22.0             50.0           1.0
density_fill DFS_Optimized     50          0.3471          8.421875                     50.0    612.0             50.0           1.0
density_fill DFS_Optimized    100          0.8757         31.078125                    100.0   2475.0             50.0           1.0
density_fill DFS_Optimized    200          2.8836         94.203125                    200.0   9950.0             50.0           1.0
density_fill DFS_Optimized    500         30.5593        531.078125                    500.0  62375.0             50.0           1.0
density_fill DFS_Optimized   1000         96.2299       2050.171875                   1000.0 249750.0             50.0           1.0
