graph_type,algorithm,nodes,median_time_ms,median_memory_kb,median_vertices_visited,edges,density_percent,success_rate
bipartite_graph,BFS_Base,10,0.025699999241624027,0.6328125,10.0,9.0,20.0,1.0
bipartite_graph,BFS_Base,50,0.18670000281417742,1.2890625,50.0,201.0,16.41,1.0
bipartite_graph,BFS_Base,100,1.8588999955682084,2.2578125,100.0,757.0,15.29,1.0
bipartite_graph,BFS_Base,200,9.545100001560058,4.2265625,200.0,2971.0,14.93,1.0
bipartite_graph,DFS_Base,10,0.035700002626981586,0.703125,10.0,9.0,20.0,1.0
bipartite_graph,DFS_Base,50,0.5429000011645257,2.546875,50.0,201.0,16.41,1.0
bipartite_graph,DFS_Base,100,2.4759000007179566,7.328125,100.0,757.0,15.29,1.0
bipartite_graph,DFS_Base,200,18.193500000052154,26.046875,200.0,2971.0,14.93,1.0
complete_graph,BFS_Base,10,0.037500001781154424,0.6015625,10.0,45.0,100.0,1.0
complete_graph,BFS_Base,50,1.0977000056300312,1.3203125,50.0,1225.0,100.0,1.0
complete_graph,BFS_Base,100,9.213999997882638,2.4140625,100.0,4950.0,100.0,1.0
complete_graph,BFS_Base,200,69.25330000376562,4.2890625,200.0,19900.0,100.0,1.0
complete_graph,DFS_Base,10,0.06910000229254365,0.953125,10.0,45.0,100.0,1.0
complete_graph,DFS_Base,50,2.275800005008932,10.921875,50.0,1225.0,100.0,1.0
complete_graph,DFS_Base,100,10.226500002318062,42.921875,100.0,4950.0,100.0,1.0
complete_graph,DFS_Base,200,91.82690000307048,172.421875,200.0,19900.0,100.0,1.0
cyclic_graph,BFS_Base,10,0.025699999241624027,0.6015625,10.0,10.0,22.22,1.0
cyclic_graph,BFS_Base,50,0.21570000535575673,1.1640625,50.0,50.0,4.08,1.0
cyclic_graph,BFS_Base,100,0.2736999958870001,2.0390625,100.0,100.0,2.02,1.0
cyclic_graph,BFS_Base,200,1.5635000017937273,3.4765625,200.0,200.0,1.01,1.0
cyclic_graph,DFS_Base,10,0.03749999450519681,0.671875,10.0,10.0,22.22,1.0
cyclic_graph,DFS_Base,50,0.32559999817749485,1.234375,50.0,50.0,4.08,1.0
cyclic_graph,DFS_Base,100,0.4093999959877692,2.109375,100.0,100.0,2.02,1.0
cyclic_graph,DFS_Base,200,2.5814000036916696,3.546875,200.0,200.0,1.01,1.0
dense_graph,BFS_Base,10,0.06790000043110922,0.6015625,10.0,33.0,73.33,1.0
dense_graph,BFS_Base,50,0.985200000286568,1.3203125,50.0,852.0,69.55,1.0
dense_graph,BFS_Base,100,4.512499996053521,2.4140625,100.0,3468.0,70.06,1.0
dense_graph,BFS_Base,200,41.13879999931669,4.2890625,200.0,13898.0,69.84,1.0
dense_graph,DFS_Base,10,0.09579999459674582,0.890625,10.0,33.0,73.33,1.0
dense_graph,DFS_Base,50,4.344200002378784,7.921875,50.0,852.0,69.55,1.0
dense_graph,DFS_Base,100,9.089799998037051,30.671875,100.0,3468.0,70.06,1.0
dense_graph,DFS_Base,200,61.00230000447482,122.046875,200.0,13898.0,69.84,1.0
disconnected_graph,BFS_Base,10,0.03060000017285347,0.6640625,10.0,7.0,15.56,1.0
disconnected_graph,BFS_Base,50,0.23430000146618113,1.2578125,50.0,47.0,3.84,1.0
disconnected_graph,BFS_Base,100,0.2697000018088147,2.1328125,100.0,97.0,1.96,1.0
disconnected_graph,BFS_Base,200,0.7402999981422909,3.6328125,200.0,197.0,0.99,1.0
disconnected_graph,DFS_Base,10,0.06440000288421288,0.734375,10.0,7.0,15.56,1.0
disconnected_graph,DFS_Base,50,0.17920000391313806,1.328125,50.0,47.0,3.84,1.0
disconnected_graph,DFS_Base,100,0.5097000030218624,2.203125,100.0,97.0,1.96,1.0
disconnected_graph,DFS_Base,200,1.6630999962217174,3.640625,200.0,197.0,0.99,1.0
grid_planar,BFS_Base,10,0.053499999921768904,0.6015625,10.0,13.0,28.89,1.0
grid_planar,BFS_Base,50,0.17220000154338777,1.1953125,50.0,85.0,6.94,1.0
grid_planar,BFS_Base,100,0.3269000008003786,2.0703125,100.0,180.0,3.64,1.0
grid_planar,BFS_Base,200,2.063399995677173,3.5390625,200.0,371.0,1.86,1.0
grid_planar,DFS_Base,10,0.07429999823216349,0.703125,10.0,13.0,28.89,1.0
grid_planar,DFS_Base,50,0.31599999783793464,1.515625,50.0,85.0,6.94,1.0
grid_planar,DFS_Base,100,0.5473999990499578,2.796875,100.0,180.0,3.64,1.0
grid_planar,DFS_Base,200,3.0541999949491583,5.078125,200.0,371.0,1.86,1.0
simple_graph,BFS_Base,10,0.06179999763844535,0.6328125,10.0,5.0,11.11,1.0
simple_graph,BFS_Base,50,0.49190000572707504,1.2890625,50.0,186.0,15.18,1.0
simple_graph,BFS_Base,100,1.337599998805672,2.3828125,100.0,787.0,15.9,1.0
simple_graph,BFS_Base,200,10.734100003901403,4.2265625,200.0,2897.0,14.56,1.0
simple_graph,DFS_Base,10,0.08019999950192869,0.703125,10.0,5.0,11.11,1.0
