        graph_type algorithm  nodes  median_time_ms  median_memory_kb  median_vertices_visited   edges  density_percent  success_rate
   bipartite_graph  BFS_Base     10          0.0257          0.632812                     10.0     9.0            20.00           1.0
   bipartite_graph  BFS_Base     50          0.1867          1.289062                     50.0   201.0            16.41           1.0
   bipartite_graph  BFS_Base    100          1.8589          2.257812                    100.0   757.0            15.29           1.0
   bipartite_graph  BFS_Base    200          9.5451          4.226562                    200.0  2971.0            14.93           1.0
   bipartite_graph  DFS_Base     10          0.0357          0.703125                     10.0     9.0            20.00           1.0
   bipartite_graph  DFS_Base     50          0.5429          2.546875                     50.0   201.0            16.41           1.0
   bipartite_graph  DFS_Base    100          2.4759          7.328125                    100.0   757.0            15.29           1.0
   bipartite_graph  DFS_Base    200         18.1935         26.046875                    200.0  2971.0            14.93           1.0
    complete_graph  BFS_Base     10          0.0375          0.601562                     10.0    45.0           100.00           1.0
    complete_graph  BFS_Base     50          1.0977          1.320312                     50.0  1225.0           100.00           1.0
    complete_graph  BFS_Base    100          9.2140          2.414062                    100.0  4950.0           100.00           1.0
    complete_graph  BFS_Base    200         69.2533          4.289062                    200.0 19900.0           100.00           1.0
    complete_graph  DFS_Base     10          0.0691          0.953125                     10.0    45.0           100.00           1.0
    complete_graph  DFS_Base     50          2.2758         10.921875                     50.0  1225.0           100.00           1.0
    complete_graph  DFS_Base    100         10.2265         42.921875                    100.0  4950.0           100.00           1.0
    complete_graph  DFS_Base    200         91.8269        172.421875                    200.0 19900.0           100.00           1.0
      cyclic_graph  BFS_Base     10          0.0257          0.601562                     10.0    10.0            22.22           1.0
      cyclic_graph  BFS_Base     50          0.2157          1.164062                     50.0    50.0             4.08           1.0
      cyclic_graph  BFS_Base    100          0.2737          2.039062                    100.0   100.0             2.02           1.0
      cyclic_graph  BFS_Base    200          1.5635          3.476562                    200.0   200.0             1.01           1.0
      cyclic_graph  DFS_Base     10          0.0375          0.671875                     10.0    10.0            22.22           1.0
      cyclic_graph  DFS_Base     50          0.3256          1.234375                     50.0    50.0             4.08           1.0
      cyclic_graph  DFS_Base    100          0.4094          2.109375                    100.0   100.0             2.02           1.0
      cyclic_graph  DFS_Base    200          2.5814          3.546875                    200.0   200.0             1.01           1.0
       dense_graph  BFS_Base     10          0.0679          0.601562                     10.0    33.0            73.33           1.0
       dense_graph  BFS_Base     50          0.9852          1.320312                     50.0   852.0            69.55           1.0
       dense_graph  BFS_Base    100          4.5125          2.414062                    100.0  3468.0            70.06           1.0
       dense_graph  BFS_Base    200         41.1388          4.289062                    200.0 13898.0            69.84           1.0
       dense_graph  DFS_Base     10          0.0958          0.890625                     10.0    33.0            73.33           1.0
       dense_graph  DFS_Base     50          4.3442          7.921875                     50.0   852.0            69.55           1.0
       dense_graph  DFS_Base    100          9.0898         30.671875                    100.0  3468.0            70.06           1.0
       dense_graph  DFS_Base    200         61.0023        122.046875                    200.0 13898.0            69.84           1.0
disconnected_graph  BFS_Base     10          0.0306          0.664062                     10.0     7.0            15.56           1.0
disconnected_graph  BFS_Base     50          0.2343          1.257812                     50.0    47.0             3.84           1.0
disconnected_graph  BFS_Base    100          0.2697          2.132812                    100.0    97.0             1.96           1.0
disconnected_graph  BFS_Base    200          0.7403          3.632812                    200.0   197.0             0.99           1.0
disconnected_graph  DFS_Base     10          0.0644          0.734375                     10.0     7.0            15.56           1.0
disconnected_graph  DFS_Base     50          0.1792          1.328125                     50.0    47.0             3.84           1.0
disconnected_graph  DFS_Base    100          0.5097          2.203125                    100.0    97.0             1.96           1.0
disconnected_graph  DFS_Base    200          1.6631          3.640625                    200.0   197.0             0.99           1.0
       grid_planar  BFS_Base     10          0.0535          0.601562                     10.0    13.0            28.89           1.0
       grid_planar  BFS_Base     50          0.1722          1.195312                     50.0    85.0             6.94           1.0
       grid_planar  BFS_Base    100          0.3269          2.070312                    100.0   180.0             3.64           1.0
       grid_planar  BFS_Base    200          2.0634          3.539062                    200.0   371.0             1.86           1.0
       grid_planar  DFS_Base     10          0.0743          0.703125                     10.0    13.0            28.89           1.0
       grid_planar  DFS_Base     50          0.3160          1.515625                     50.0    85.0             6.94           1.0
       grid_planar  DFS_Base    100          0.5474          2.796875                    100.0   180.0             3.64           1.0
       grid_planar  DFS_Base    200          3.0542          5.078125                    200.0   371.0             1.86           1.0
      simple_graph  BFS_Base     10          0.0618          0.632812                     10.0     5.0            11.11           1.0
      simple_graph  BFS_Base     50          0.4919          1.289062                     50.0   186.0            15.18           1.0
      simple_graph  BFS_Base    100          1.3376          2.382812                    100.0   787.0            15.90           1.0
      simple_graph  BFS_Base    200         10.7341          4.226562                    200.0  2897.0            14.56           1.0
      simple_graph  DFS_Base     10          0.0802          0.703125                     10.0     5.0            11.11           1.0
      simple_graph  DFS_Base     50          0.8770          2.359375                     50.0   186.0            15.18           1.0
      simple_graph  DFS_Base    100          2.3436          8.015625                    100.0   787.0            15.90           1.0
      simple_graph  DFS_Base    200         11.0690         26.046875                    200.0  2897.0            14.56           1.0
     strip_weights  BFS_Base     10          0.0498          0.664062                     10.0    14.0            31.11           1.0
     strip_weights  BFS_Base     50          0.3269          1.289062                     50.0   410.0            33.47           1.0
     strip_weights  BFS_Base    100          1.8949          2.382812                    100.0  1544.0            31.19           1.0
     strip_weights  BFS_Base    200         55.3960          4.289062                    200.0  6022.0            30.26           1.0
     strip_weights  DFS_Base     10          0.0465          0.703125                     10.0    14.0            31.11           1.0
     strip_weights  DFS_Base     50          0.5574          4.328125                     50.0   410.0            33.47           1.0
