graph_type,algorithm,nodes,median_time_ms,median_memory_kb,median_vertices_visited,edges,density_percent,success_rate
bipartite_graph,BFS_Optimized,10,0.02729999687289819,1.96875,10.0,10.0,22.22,1.0
bipartite_graph,BFS_Optimized,50,0.15949999942677096,3.8046875,50.0,197.0,16.08,1.0
bipartite_graph,BFS_Optimized,100,0.1795999996829778,11.9765625,100.0,754.0,15.23,1.0
bipartite_graph,BFS_Optimized,200,0.548999996681232,12.3828125,200.0,2997.0,15.06,1.0
bipartite_graph,BFS_Optimized,500,4.019200001494028,43.4609375,500.0,18571.0,14.89,1.0
bipartite_graph,BFS_Optimized,1000,13.489700002537575,48.5703125,1000.0,75187.0,15.05,1.0
bipartite_graph,DFS_Optimized,10,0.034900003811344504,1.2890625,10.0,10.0,22.22,1.0
bipartite_graph,DFS_Optimized,50,0.3346999947098084,4.3515625,50.0,197.0,16.08,1.0
bipartite_graph,DFS_Optimized,100,0.9374000001116656,16.328125,100.0,754.0,15.23,1.0
bipartite_graph,DFS_Optimized,200,1.7010000010486692,32.6953125,200.0,2997.0,15.06,1.0
bipartite_graph,DFS_Optimized,500,18.017100002907682,186.7578125,500.0,18571.0,14.89,1.0
bipartite_graph,DFS_Optimized,1000,41.32559999561636,659.1328125,1000.0,75187.0,15.05,1.0
complete_graph,BFS_Optimized,10,0.026500005333218724,1.8984375,10.0,45.0,100.0,1.0
complete_graph,BFS_Optimized,50,0.3031999949598685,3.8046875,50.0,1225.0,100.0,1.0
complete_graph,BFS_Optimized,100,0.8786999969743192,11.8203125,100.0,4950.0,100.0,1.0
complete_graph,BFS_Optimized,200,2.913500000431668,12.3828125,200.0,19900.0,100.0,1.0
complete_graph,BFS_Optimized,500,27.07869999721879,43.3671875,500.0,124750.0,100.0,1.0
complete_graph,BFS_Optimized,1000,96.78970000095433,49.6015625,1000.0,499500.0,100.0,1.0
complete_graph,DFS_Optimized,10,0.046399996790569276,1.5390625,10.0,45.0,100.0,1.0
complete_graph,DFS_Optimized,50,0.6674000032944605,12.7265625,50.0,1225.0,100.0,1.0
complete_graph,DFS_Optimized,100,2.391200003330596,50.2890625,100.0,4950.0,100.0,1.0
complete_graph,DFS_Optimized,200,6.303599999228027,179.0703125,200.0,19900.0,100.0,1.0
complete_graph,DFS_Optimized,500,56.92290000297362,1026.6640625,500.0,124750.0,100.0,1.0
complete_graph,DFS_Optimized,1000,224.58300000289455,4110.8203125,1000.0,499500.0,100.0,1.0
cyclic_graph,BFS_Optimized,10,0.025300003471784294,1.8984375,10.0,10.0,22.22,1.0
cyclic_graph,BFS_Optimized,50,0.13839999883202836,3.9609375,50.0,50.0,4.08,1.0
cyclic_graph,BFS_Optimized,100,0.1607999947736971,12.3828125,100.0,100.0,2.02,1.0
cyclic_graph,BFS_Optimized,200,0.25439999444643036,12.3828125,200.0,200.0,1.01,1.0
cyclic_graph,BFS_Optimized,500,1.1768000040319748,44.1953125,500.0,500.0,0.4,1.0
cyclic_graph,BFS_Optimized,1000,2.5894999998854473,44.1953125,1000.0,1000.0,0.2,1.0
cyclic_graph,DFS_Optimized,10,0.035099998058285564,1.2578125,10.0,10.0,22.22,1.0
