        graph_type     algorithm  nodes  median_time_ms  median_memory_kb  median_vertices_visited    edges  density_percent  success_rate
   bipartite_graph BFS_Optimized     10          0.0273          1.968750                     10.0     10.0            22.22           1.0
   bipartite_graph BFS_Optimized     50          0.1595          3.804688                     50.0    197.0            16.08           1.0
   bipartite_graph BFS_Optimized    100          0.1796         11.976562                    100.0    754.0            15.23           1.0
   bipartite_graph BFS_Optimized    200          0.5490         12.382812                    200.0   2997.0            15.06           1.0
   bipartite_graph BFS_Optimized    500          4.0192         43.460938                    500.0  18571.0            14.89           1.0
   bipartite_graph BFS_Optimized   1000         13.4897         48.570312                   1000.0  75187.0            15.05           1.0
   bipartite_graph DFS_Optimized     10          0.0349          1.289062                     10.0     10.0            22.22           1.0
   bipartite_graph DFS_Optimized     50          0.3347          4.351562                     50.0    197.0            16.08           1.0
   bipartite_graph DFS_Optimized    100          0.9374         16.328125                    100.0    754.0            15.23           1.0
   bipartite_graph DFS_Optimized    200          1.7010         32.695312                    200.0   2997.0            15.06           1.0
   bipartite_graph DFS_Optimized    500         18.0171        186.757812                    500.0  18571.0            14.89           1.0
   bipartite_graph DFS_Optimized   1000         41.3256        659.132812                   1000.0  75187.0            15.05           1.0
    complete_graph BFS_Optimized     10          0.0265          1.898438                     10.0     45.0           100.00           1.0
    complete_graph BFS_Optimized     50          0.3032          3.804688                     50.0   1225.0           100.00           1.0
    complete_graph BFS_Optimized    100          0.8787         11.820312                    100.0   4950.0           100.00           1.0
    complete_graph BFS_Optimized    200          2.9135         12.382812                    200.0  19900.0           100.00           1.0
    complete_graph BFS_Optimized    500         27.0787         43.367188                    500.0 124750.0           100.00           1.0
    complete_graph BFS_Optimized   1000         96.7897         49.601562                   1000.0 499500.0           100.00           1.0
    complete_graph DFS_Optimized     10          0.0464          1.539062                     10.0     45.0           100.00           1.0
    complete_graph DFS_Optimized     50          0.6674         12.726562                     50.0   1225.0           100.00           1.0
    complete_graph DFS_Optimized    100          2.3912         50.289062                    100.0   4950.0           100.00           1.0
    complete_graph DFS_Optimized    200          6.3036        179.070312                    200.0  19900.0           100.00           1.0
    complete_graph DFS_Optimized    500         56.9229       1026.664062                    500.0 124750.0           100.00           1.0
    complete_graph DFS_Optimized   1000        224.5830       4110.820312                   1000.0 499500.0           100.00           1.0
      cyclic_graph BFS_Optimized     10          0.0253          1.898438                     10.0     10.0            22.22           1.0
      cyclic_graph BFS_Optimized     50          0.1384          3.960938                     50.0     50.0             4.08           1.0
      cyclic_graph BFS_Optimized    100          0.1608         12.382812                    100.0    100.0             2.02           1.0
      cyclic_graph BFS_Optimized    200          0.2544         12.382812                    200.0    200.0             1.01           1.0
      cyclic_graph BFS_Optimized    500          1.1768         44.195312                    500.0    500.0             0.40           1.0
      cyclic_graph BFS_Optimized   1000          2.5895         44.195312                   1000.0   1000.0             0.20           1.0
      cyclic_graph DFS_Optimized     10          0.0351          1.257812                     10.0     10.0            22.22           1.0
      cyclic_graph DFS_Optimized     50          0.2547          3.203125                     50.0     50.0             4.08           1.0
      cyclic_graph DFS_Optimized    100          0.5290         11.109375                    100.0    100.0             2.02           1.0
      cyclic_graph DFS_Optimized    200          0.4880         11.109375                    200.0    200.0             1.01           1.0
      cyclic_graph DFS_Optimized    500          3.1059         42.921875                    500.0    500.0             0.40           1.0
      cyclic_graph DFS_Optimized   1000          4.5035         42.921875                   1000.0   1000.0             0.20           1.0
       dense_graph BFS_Optimized     10          0.0254          1.898438                     10.0     31.0            68.89           1.0
       dense_graph BFS_Optimized     50          0.3246          3.804688                     50.0    848.0            69.22           1.0
       dense_graph BFS_Optimized    100          0.3624         11.820312                    100.0   3513.0            70.97           1.0
       dense_graph BFS_Optimized    200          1.3145         12.382812                    200.0  13848.0            69.59           1.0
       dense_graph BFS_Optimized    500         14.8178         43.367188                    500.0  87494.0            70.14           1.0
       dense_graph BFS_Optimized   1000        118.6350         49.601562                   1000.0 349321.0            69.93           1.0
       dense_graph DFS_Optimized     10          0.0411          1.414062                     10.0     31.0            68.89           1.0
       dense_graph DFS_Optimized     50          0.6535          9.726562                     50.0    848.0            69.22           1.0
       dense_graph DFS_Optimized    100          1.4962         38.039062                    100.0   3513.0            70.97           1.0
       dense_graph DFS_Optimized    200          2.8504        128.695312                    200.0  13848.0            69.59           1.0
       dense_graph DFS_Optimized    500         91.0641        731.882812                    500.0  87494.0            70.14           1.0
       dense_graph DFS_Optimized   1000        236.5435       2899.320312                   1000.0 349321.0            69.93           1.0
disconnected_graph BFS_Optimized     10          0.0552          1.960938                     10.0      7.0            15.56           1.0
disconnected_graph BFS_Optimized     50          0.1529          4.023438                     50.0     47.0             3.84           1.0
disconnected_graph BFS_Optimized    100          0.2642         11.929688                    100.0     97.0             1.96           1.0
disconnected_graph BFS_Optimized    200          0.5041         11.929688                    200.0    197.0             0.99           1.0
disconnected_graph BFS_Optimized    500          1.2258         44.257812                    500.0    497.0             0.40           1.0
disconnected_graph BFS_Optimized   1000          1.1946         44.195312                   1000.0    997.0             0.20           1.0
disconnected_graph DFS_Optimized     10          0.1203          1.320312                     10.0      7.0            15.56           1.0
disconnected_graph DFS_Optimized     50          0.2673          3.296875                     50.0     47.0             3.84           1.0
disconnected_graph DFS_Optimized    100          0.4998         11.203125                    100.0     97.0             1.96           1.0
disconnected_graph DFS_Optimized    200          0.4883         11.171875                    200.0    197.0             0.99           1.0
disconnected_graph DFS_Optimized    500          2.4161         43.046875                    500.0    497.0             0.40           1.0
disconnected_graph DFS_Optimized   1000          2.9667         42.984375                   1000.0    997.0             0.20           1.0
       grid_planar BFS_Optimized     10          0.0246          1.898438                     10.0     13.0            28.89           1.0
       grid_planar BFS_Optimized     50          0.0733          3.898438                     50.0     85.0             6.94           1.0
       grid_planar BFS_Optimized    100          0.1471         12.382812                    100.0    180.0             3.64           1.0
       grid_planar BFS_Optimized    200          0.2636         12.382812                    200.0    371.0             1.86           1.0
       grid_planar BFS_Optimized    500          1.3836         44.195312                    500.0    955.0             0.77           1.0
       grid_planar BFS_Optimized   1000          1.6797         44.195312                   1000.0   1936.0             0.39           1.0
       grid_planar DFS_Optimized     10          0.0375          1.289062                     10.0     13.0            28.89           1.0
       grid_planar DFS_Optimized     50          0.1497          3.359375                     50.0     85.0             6.94           1.0
       grid_planar DFS_Optimized    100          0.2687         11.671875                    100.0    180.0             3.64           1.0
       grid_planar DFS_Optimized    200          0.4943         11.726562                    200.0    371.0             1.86           1.0
       grid_planar DFS_Optimized    500          2.7018         45.296875                    500.0    955.0             0.77           1.0
       grid_planar DFS_Optimized   1000          4.8475         48.789062                   1000.0   1936.0             0.39           1.0
      simple_graph BFS_Optimized     10          0.0306          1.968750                     10.0      7.0            15.56           1.0
      simple_graph BFS_Optimized     50          0.1705          3.804688                     50.0    196.0            16.00           1.0
      simple_graph BFS_Optimized    100          0.2389         11.914062                    100.0    724.0            14.63           1.0
      simple_graph BFS_Optimized    200          0.7215         12.382812                    200.0   2973.0            14.94           1.0
