algorithm,execution_time_ms,peak_memory_kb,vertices_visited,success,trial,nodes,edges,graph_type,classification,density_percent
DFS_Optimized,0.2626999994390644,2.0625,10,True,1,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
DFS_Optimized,0.09479999425821006,1.2890625,10,True,2,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
DFS_Optimized,0.08000000525498763,1.2890625,10,True,3,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
DFS_Optimized,0.07670000195503235,1.2890625,10,True,4,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
DFS_Optimized,0.08040000102482736,1.2890625,10,True,5,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
BFS_Optimized,0.1362999973935075,1.96875,10,True,1,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
BFS_Optimized,0.10029999975813553,1.96875,10,True,2,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
BFS_Optimized,0.10019999899668619,1.96875,10,True,3,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
BFS_Optimized,0.10089999705087394,1.96875,10,True,4,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
BFS_Optimized,0.12180000339867547,1.96875,10,True,5,10,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=10; E=0; fill=0.00%,0
DFS_Optimized,0.13679999392479658,1.2578125,10,True,1,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
DFS_Optimized,0.08189999789465219,1.2578125,10,True,2,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
DFS_Optimized,0.07810000533936545,1.2578125,10,True,3,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
DFS_Optimized,0.07429999823216349,1.2578125,10,True,4,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
DFS_Optimized,0.0897999998414889,1.2578125,10,True,5,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
BFS_Optimized,0.3006000042660162,1.8984375,10,True,1,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
BFS_Optimized,0.0318000020342879,1.8984375,10,True,2,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
BFS_Optimized,0.025199995434377342,1.8984375,10,True,3,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
BFS_Optimized,0.03579999611247331,1.8984375,10,True,4,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
BFS_Optimized,0.03360000118846074,1.8984375,10,True,5,10,11,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=10; E=11; fill=24.44%,25
DFS_Optimized,0.049299997044727206,1.3515625,10,True,1,10,22,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=10; E=22; fill=48.89%,50
DFS_Optimized,0.041799998143687844,1.3515625,10,True,2,10,22,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=10; E=22; fill=48.89%,50
DFS_Optimized,0.03989999822806567,1.3515625,10,True,3,10,22,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=10; E=22; fill=48.89%,50
DFS_Optimized,0.03929999365936965,1.3515625,10,True,4,10,22,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=10; E=22; fill=48.89%,50
DFS_Optimized,0.03949999518226832,1.3515625,10,True,5,10,22,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=10; E=22; fill=48.89%,50
BFS_Optimized,0.028100002964492887,1.8984375,10,True,1,10,22,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=10; E=22; fill=48.89%,50
BFS_Optimized,0.026500005333218724,1.8984375,10,True,2,10,22,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=10; E=22; fill=48.89%,50
BFS_Optimized,0.02600000152597204,1.8984375,10,True,3,10,22,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=10; E=22; fill=48.89%,50
BFS_Optimized,0.05660000169882551,1.8984375,10,True,4,10,22,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=10; E=22; fill=48.89%,50
BFS_Optimized,0.14459999511018395,1.8984375,10,True,5,10,22,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=10; E=22; fill=48.89%,50
DFS_Optimized,0.2525000018067658,1.4765625,10,True,1,10,34,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=10; E=34; fill=75.56%,75
DFS_Optimized,0.12589999823831022,1.4765625,10,True,2,10,34,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=10; E=34; fill=75.56%,75
DFS_Optimized,0.08260000322479755,1.4765625,10,True,3,10,34,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=10; E=34; fill=75.56%,75
DFS_Optimized,0.11500000255182385,1.4765625,10,True,4,10,34,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=10; E=34; fill=75.56%,75
DFS_Optimized,0.04690000059781596,1.4765625,10,True,5,10,34,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=10; E=34; fill=75.56%,75
BFS_Optimized,0.03260000084992498,1.8984375,10,True,1,10,34,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=10; E=34; fill=75.56%,75
BFS_Optimized,0.026699999580159783,1.8984375,10,True,2,10,34,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=10; E=34; fill=75.56%,75
BFS_Optimized,0.02729999687289819,1.8984375,10,True,3,10,34,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=10; E=34; fill=75.56%,75
BFS_Optimized,0.027599999157246202,1.8984375,10,True,4,10,34,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=10; E=34; fill=75.56%,75
BFS_Optimized,0.025499997718725353,1.8984375,10,True,5,10,34,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=10; E=34; fill=75.56%,75
DFS_Optimized,0.051700000767596066,1.5390625,10,True,1,10,45,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100
DFS_Optimized,0.04990000161342323,1.5390625,10,True,2,10,45,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100
DFS_Optimized,0.05249999958323315,1.5390625,10,True,3,10,45,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100
DFS_Optimized,0.045700006012339145,1.5390625,10,True,4,10,45,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100
DFS_Optimized,0.044200001866556704,1.5390625,10,True,5,10,45,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100
BFS_Optimized,0.028299997211433947,1.8984375,10,True,1,10,45,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100
BFS_Optimized,0.027400004910305142,1.8984375,10,True,2,10,45,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100
BFS_Optimized,0.026400004571769387,1.8984375,10,True,3,10,45,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100
BFS_Optimized,0.11760000052163377,1.8984375,10,True,4,10,45,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100
BFS_Optimized,0.07329999789362773,1.8984375,10,True,5,10,45,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100
DFS_Optimized,0.6391999995685183,8.546875,50,True,1,50,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=50; E=0; fill=0.00%,0
DFS_Optimized,0.2945000014733523,3.234375,50,True,2,50,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=50; E=0; fill=0.00%,0
DFS_Optimized,0.326899993524421,3.234375,50,True,3,50,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=50; E=0; fill=0.00%,0
DFS_Optimized,0.30780000088270754,3.234375,50,True,4,50,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=50; E=0; fill=0.00%,0
DFS_Optimized,0.2884999994421378,3.234375,50,True,5,50,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=50; E=0; fill=0.00%,0
BFS_Optimized,0.42050000047311187,3.75,50,True,1,50,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=50; E=0; fill=0.00%,0
BFS_Optimized,0.4074000025866553,3.75,50,True,2,50,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=50; E=0; fill=0.00%,0
BFS_Optimized,0.4233999934513122,3.75,50,True,3,50,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=50; E=0; fill=0.00%,0
BFS_Optimized,0.40919999446487054,3.75,50,True,4,50,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=50; E=0; fill=0.00%,0
BFS_Optimized,0.4206000012345612,3.75,50,True,5,50,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=50; E=0; fill=0.00%,0
DFS_Optimized,0.44920000073034316,5.578125,50,True,1,50,306,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=50; E=306; fill=24.98%,25
DFS_Optimized,0.3595000016503036,5.578125,50,True,2,50,306,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=50; E=306; fill=24.98%,25
DFS_Optimized,0.47389999963343143,5.578125,50,True,3,50,306,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=50; E=306; fill=24.98%,25
DFS_Optimized,0.382099999114871,5.578125,50,True,4,50,306,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=50; E=306; fill=24.98%,25
DFS_Optimized,20.777000005182344,5.578125,50,True,5,50,306,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=50; E=306; fill=24.98%,25
BFS_Optimized,0.42460000258870423,3.8046875,50,True,1,50,306,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=50; E=306; fill=24.98%,25
BFS_Optimized,0.19789999350905418,3.8046875,50,True,2,50,306,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=50; E=306; fill=24.98%,25
BFS_Optimized,0.18170000112149864,3.8046875,50,True,3,50,306,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=50; E=306; fill=24.98%,25
BFS_Optimized,0.20809999841731042,3.8046875,50,True,4,50,306,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=50; E=306; fill=24.98%,25
BFS_Optimized,0.17659999866737053,3.8046875,50,True,5,50,306,density_fill,Fill 25%; connected; sparse; unweighted; undirected; V=50; E=306; fill=24.98%,25
DFS_Optimized,0.49450000369688496,8.421875,50,True,1,50,612,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=50; E=612; fill=49.96%,50
DFS_Optimized,0.49510000098962337,8.421875,50,True,2,50,612,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=50; E=612; fill=49.96%,50
DFS_Optimized,0.6235999971977435,8.421875,50,True,3,50,612,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=50; E=612; fill=49.96%,50
DFS_Optimized,0.2649999951245263,8.421875,50,True,4,50,612,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=50; E=612; fill=49.96%,50
DFS_Optimized,0.24390000180574134,8.421875,50,True,5,50,612,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=50; E=612; fill=49.96%,50
BFS_Optimized,0.11249999806750566,3.8046875,50,True,1,50,612,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=50; E=612; fill=49.96%,50
BFS_Optimized,0.10399999882793054,3.8046875,50,True,2,50,612,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=50; E=612; fill=49.96%,50
BFS_Optimized,0.1123000038205646,3.8046875,50,True,3,50,612,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=50; E=612; fill=49.96%,50
BFS_Optimized,0.10680000559659675,3.8046875,50,True,4,50,612,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=50; E=612; fill=49.96%,50
BFS_Optimized,0.10439999459777027,3.8046875,50,True,5,50,612,density_fill,Fill 50%; connected; medium; unweighted; undirected; V=50; E=612; fill=49.96%,50
