algorithm,execution_time_ms,peak_memory_kb,vertices_visited,success,trial,nodes,edges,graph_type,classification,density_percent
DFS_Base,0.11660000018309802,0.921875,10,True,1,10,5,simple_graph,simple_graph; disconnected; sparse; unweighted; undirected; V=10; E=5; fill=11.11%,11.11
DFS_Base,0.08019999950192869,0.703125,10,True,2,10,5,simple_graph,simple_graph; disconnected; sparse; unweighted; undirected; V=10; E=5; fill=11.11%,11.11
DFS_Base,0.10260000271955505,0.703125,10,True,3,10,5,simple_graph,simple_graph; disconnected; sparse; unweighted; undirected; V=10; E=5; fill=11.11%,11.11
DFS_Base,0.07370000093942508,0.703125,10,True,4,10,5,simple_graph,simple_graph; disconnected; sparse; unweighted; undirected; V=10; E=5; fill=11.11%,11.11
DFS_Base,0.07139999797800556,0.703125,10,True,5,10,5,simple_graph,simple_graph; disconnected; sparse; unweighted; undirected; V=10; E=5; fill=11.11%,11.11
BFS_Base,0.06179999763844535,0.6328125,10,True,1,10,5,simple_graph,simple_graph; disconnected; sparse; unweighted; undirected; V=10; E=5; fill=11.11%,11.11
BFS_Base,0.1703000016277656,0.6328125,10,True,2,10,5,simple_graph,simple_graph; disconnected; sparse; unweighted; undirected; V=10; E=5; fill=11.11%,11.11
BFS_Base,0.06600000051548705,0.6328125,10,True,3,10,5,simple_graph,simple_graph; disconnected; sparse; unweighted; undirected; V=10; E=5; fill=11.11%,11.11
BFS_Base,0.057799996284302324,0.6328125,10,True,4,10,5,simple_graph,simple_graph; disconnected; sparse; unweighted; undirected; V=10; E=5; fill=11.11%,11.11
BFS_Base,0.05419999797595665,0.6328125,10,True,5,10,5,simple_graph,simple_graph; disconnected; sparse; unweighted; undirected; V=10; E=5; fill=11.11%,11.11
DFS_Base,0.10710000060498714,0.890625,10,True,1,10,33,dense_graph,dense_graph; connected; dense; unweighted; undirected; V=10; E=33; fill=73.33%,73.33
DFS_Base,0.09579999459674582,0.890625,10,True,2,10,33,dense_graph,dense_graph; connected; dense; unweighted; undirected; V=10; E=33; fill=73.33%,73.33
DFS_Base,0.12450000212993473,0.890625,10,True,3,10,33,dense_graph,dense_graph; connected; dense; unweighted; undirected; V=10; E=33; fill=73.33%,73.33
DFS_Base,0.055500000598840415,0.890625,10,True,4,10,33,dense_graph,dense_graph; connected; dense; unweighted; undirected; V=10; E=33; fill=73.33%,73.33
DFS_Base,0.04859999899053946,0.890625,10,True,5,10,33,dense_graph,dense_graph; connected; dense; unweighted; undirected; V=10; E=33; fill=73.33%,73.33
