algorithm,algorithm_family,execution_time_ms,peak_memory_kb,reachable_distances,trial,nodes,edges,density_ratio,graph_type
Dijkstra_Classic,single_source,0.894299999345094,1.8515625,100,1,100,1481,0.1495959595959596,sparse
Dijkstra_Classic,single_source,0.8713999995961785,1.671875,100,2,100,1481,0.1495959595959596,sparse
Dijkstra_Classic,single_source,0.8607000054325908,1.6953125,100,3,100,1481,0.1495959595959596,sparse
Dijkstra_Classic,single_source,2.04719999601366,1.6953125,100,4,100,1481,0.1495959595959596,sparse
Dijkstra_Classic,single_source,0.9508000002824701,1.6953125,100,5,100,1481,0.1495959595959596,sparse
Dijkstra_Optimized,single_source,0.6929999944986776,8.1640625,100,1,100,1481,0.1495959595959596,sparse
Dijkstra_Optimized,single_source,0.3471000018180348,1.984375,100,2,100,1481,0.1495959595959596,sparse
Dijkstra_Optimized,single_source,0.3321999975014478,2.0078125,100,3,100,1481,0.1495959595959596,sparse
Dijkstra_Optimized,single_source,0.3219999998691492,2.0078125,100,4,100,1481,0.1495959595959596,sparse
Dijkstra_Optimized,single_source,0.5815000040456653,2.0078125,100,5,100,1481,0.1495959595959596,sparse
Dijkstra_Classic,single_source,8.149599998432677,4.015625,250,1,250,9356,0.15029718875502007,sparse
Dijkstra_Classic,single_source,8.374400000320747,4.0390625,250,2,250,9356,0.15029718875502007,sparse
Dijkstra_Classic,single_source,8.766999999352265,4.0390625,250,3,250,9356,0.15029718875502007,sparse
Dijkstra_Classic,single_source,9.05369999964023,4.0390625,250,4,250,9356,0.15029718875502007,sparse
Dijkstra_Classic,single_source,7.618700001330581,4.0390625,250,5,250,9356,0.15029718875502007,sparse
Dijkstra_Optimized,single_source,1.3796999992337078,6.0625,250,1,250,9356,0.15029718875502007,sparse
Dijkstra_Optimized,single_source,2.54280000081053,6.0859375,250,2,250,9356,0.15029718875502007,sparse
Dijkstra_Optimized,single_source,2.2643999982392415,6.0859375,250,3,250,9356,0.15029718875502007,sparse
Dijkstra_Optimized,single_source,1.9750999999814667,6.0859375,250,4,250,9356,0.15029718875502007,sparse
Dijkstra_Optimized,single_source,2.4410999976680614,6.0859375,250,5,250,9356,0.15029718875502007,sparse
Dijkstra_Classic,single_source,233.8159999999334,8.015625,500,1,500,37188,0.1490501002004008,sparse
Dijkstra_Classic,single_source,172.3675000030198,8.0390625,500,2,500,37188,0.1490501002004008,sparse
Dijkstra_Classic,single_source,294.70450000371784,8.0390625,500,3,500,37188,0.1490501002004008,sparse
Dijkstra_Classic,single_source,271.8927000023541,8.0390625,500,4,500,37188,0.1490501002004008,sparse
Dijkstra_Classic,single_source,274.6374999987893,8.0390625,500,5,500,37188,0.1490501002004008,sparse
Dijkstra_Optimized,single_source,5.167099996469915,13.671875,500,1,500,37188,0.1490501002004008,sparse
Dijkstra_Optimized,single_source,5.13900000078138,13.6953125,500,2,500,37188,0.1490501002004008,sparse
Dijkstra_Optimized,single_source,4.071300005307421,13.6953125,500,3,500,37188,0.1490501002004008,sparse
Dijkstra_Optimized,single_source,6.800000002840534,13.6953125,500,4,500,37188,0.1490501002004008,sparse
Dijkstra_Optimized,single_source,3.8160999974934384,13.6953125,500,5,500,37188,0.1490501002004008,sparse
Dijkstra_Classic,single_source,1502.4058999988483,15.828125,1000,1,1000,149835,0.149984984984985,sparse
