algorithm_family graph_type  nodes               algorithm  median_time_ms  median_memory_kb  median_reachable     edges  density_ratio
       all_pairs      dense     25   FloydWarshall_Classic          5.6659          5.343750             625.0     395.0       0.658333
       all_pairs      dense     25 FloydWarshall_Optimized          6.4859          5.296875             625.0     395.0       0.658333
       all_pairs      dense     50   FloydWarshall_Classic         33.7616         20.148438            2500.0    1573.0       0.642041
       all_pairs      dense     50 FloydWarshall_Optimized         41.4765         20.101562            2500.0    1573.0       0.642041
       all_pairs      dense     75   FloydWarshall_Classic        109.1394         44.750000            5625.0    3580.0       0.645045
       all_pairs      dense     75 FloydWarshall_Optimized        131.2879         44.703125            5625.0    3580.0       0.645045
       all_pairs      dense    100   FloydWarshall_Classic        234.6262         80.382812           10000.0    6479.0       0.654444
       all_pairs      dense    100 FloydWarshall_Optimized        308.2004         80.335938           10000.0    6479.0       0.654444
       all_pairs      dense    125   FloydWarshall_Classic        440.0227        125.851562           15625.0   10169.0       0.656065
       all_pairs      dense    125 FloydWarshall_Optimized        728.6499        125.804688           15625.0   10169.0       0.656065
       all_pairs     medium     25   FloydWarshall_Classic          6.6066          5.343750             625.0     219.0       0.365000
       all_pairs     medium     25 FloydWarshall_Optimized          5.8139          5.296875             625.0     219.0       0.365000
       all_pairs     medium     50   FloydWarshall_Classic         36.3209         20.148438            2500.0     833.0       0.340000
       all_pairs     medium     50 FloydWarshall_Optimized         47.9275         20.101562            2500.0     833.0       0.340000
       all_pairs     medium     75   FloydWarshall_Classic        113.6270         44.750000            5625.0    1957.0       0.352613
       all_pairs     medium     75 FloydWarshall_Optimized        151.5322         44.703125            5625.0    1957.0       0.352613
       all_pairs     medium    100   FloydWarshall_Classic        243.7904         80.382812           10000.0    3498.0       0.353333
       all_pairs     medium    100 FloydWarshall_Optimized        405.0749         80.335938           10000.0    3498.0       0.353333
       all_pairs     medium    125   FloydWarshall_Classic        549.4598        125.851562           15625.0    5390.0       0.347742
       all_pairs     medium    125 FloydWarshall_Optimized        655.1958        125.804688           15625.0    5390.0       0.347742
       all_pairs     sparse     25   FloydWarshall_Classic          9.6202          5.343750             554.0      91.0       0.151667
       all_pairs     sparse     25 FloydWarshall_Optimized          4.2501          5.296875             554.0      91.0       0.151667
       all_pairs     sparse     50   FloydWarshall_Classic         55.3905         20.148438            2500.0     368.0       0.150204
       all_pairs     sparse     50 FloydWarshall_Optimized         29.2431         20.101562            2500.0     368.0       0.150204
