algorithm,execution_time_ms,peak_memory_kb,mst_weight,trial,nodes,edges,density_ratio,graph_type
Prim_Classic,1.8826000014087185,86.359375,263,1,100,565,0.11414141414141414,sparse
Prim_Classic,2.7992000032099895,82.0078125,263,2,100,565,0.11414141414141414,sparse
Prim_Classic,3.467199996521231,82.03125,263,3,100,565,0.11414141414141414,sparse
Prim_Optimized,0.928000001295004,36.6875,263,1,100,565,0.11414141414141414,sparse
Prim_Optimized,0.4430999979376793,13.7734375,263,2,100,565,0.11414141414141414,sparse
Prim_Optimized,0.4838999957428314,13.7734375,263,3,100,565,0.11414141414141414,sparse
Kruskal_Classic,10.953200006042607,28.6328125,263,1,100,565,0.11414141414141414,sparse
Kruskal_Classic,10.920700005954131,28.6328125,263,2,100,565,0.11414141414141414,sparse
Kruskal_Classic,5.457300001580734,28.6328125,263,3,100,565,0.11414141414141414,sparse
Kruskal_Optimized,2.31020000501303,8.765625,263,1,100,565,0.11414141414141414,sparse
Kruskal_Optimized,1.764000000548549,8.703125,263,2,100,565,0.11414141414141414,sparse
Kruskal_Optimized,1.8939000001410022,8.703125,263,3,100,565,0.11414141414141414,sparse
Prim_Classic,9.83999999880325,324.15625,338,1,200,2149,0.10798994974874372,sparse
Prim_Classic,10.152800001378637,324.15625,338,2,200,2149,0.10798994974874372,sparse
Prim_Classic,16.21020000311546,324.15625,338,3,200,2149,0.10798994974874372,sparse
Prim_Optimized,5.040299998654518,65.8203125,338,1,200,2149,0.10798994974874372,sparse
Prim_Optimized,1.2989000024390407,24.0390625,338,2,200,2149,0.10798994974874372,sparse
Prim_Optimized,2.9246000049170107,24.0390625,338,3,200,2149,0.10798994974874372,sparse
Kruskal_Classic,19.13310000236379,68.78125,338,1,200,2149,0.10798994974874372,sparse
Kruskal_Classic,57.11149999842746,68.78125,338,2,200,2149,0.10798994974874372,sparse
Kruskal_Classic,24.707699994905852,68.78125,338,3,200,2149,0.10798994974874372,sparse
Kruskal_Optimized,33.66950000054203,28.6640625,338,1,200,2149,0.10798994974874372,sparse
Kruskal_Optimized,25.2256000021589,28.6015625,338,2,200,2149,0.10798994974874372,sparse
Kruskal_Optimized,12.494599999627098,28.6015625,338,3,200,2149,0.10798994974874372,sparse
Prim_Classic,160.94090000115102,980.578125,440,1,350,6436,0.10537863282848957,sparse
Prim_Classic,252.64079999760725,980.578125,440,2,350,6436,0.10537863282848957,sparse
Prim_Classic,187.40560000151163,980.578125,440,3,350,6436,0.10537863282848957,sparse
Prim_Optimized,22.070800005167257,306.5078125,440,1,350,6436,0.10537863282848957,sparse
Prim_Optimized,21.33680000406457,306.453125,440,2,350,6436,0.10537863282848957,sparse
Prim_Optimized,17.599600003450178,306.453125,440,3,350,6436,0.10537863282848957,sparse
Kruskal_Classic,94.95829999650596,153.765625,440,1,350,6436,0.10537863282848957,sparse
Kruskal_Classic,90.54139999352628,153.765625,440,2,350,6436,0.10537863282848957,sparse
Kruskal_Classic,74.15860000037355,153.765625,440,3,350,6436,0.10537863282848957,sparse
Kruskal_Optimized,39.893100001791026,83.1015625,440,1,350,6436,0.10537863282848957,sparse
Kruskal_Optimized,23.954399999638554,83.1015625,440,2,350,6436,0.10537863282848957,sparse
Kruskal_Optimized,33.03020000021206,83.1015625,440,3,350,6436,0.10537863282848957,sparse
Prim_Classic,820.5811000007088,1988.53125,548,1,500,12878,0.10323046092184368,sparse
Prim_Classic,602.2893999979715,1988.53125,548,2,500,12878,0.10323046092184368,sparse
Prim_Classic,581.3622000059695,1988.53125,548,3,500,12878,0.10323046092184368,sparse
Prim_Optimized,61.92880000162404,692.6796875,548,1,500,12878,0.10323046092184368,sparse
Prim_Optimized,48.66250000486616,692.625,548,2,500,12878,0.10323046092184368,sparse
Prim_Optimized,78.30149999790592,692.625,548,3,500,12878,0.10323046092184368,sparse
Kruskal_Classic,140.73789999383735,265.625,548,1,500,12878,0.10323046092184368,sparse
Kruskal_Classic,172.09490000095684,265.625,548,2,500,12878,0.10323046092184368,sparse
Kruskal_Classic,110.23340000247117,265.625,548,3,500,12878,0.10323046092184368,sparse
Kruskal_Optimized,103.10029999527615,164.4140625,548,1,500,12878,0.10323046092184368,sparse
Kruskal_Optimized,81.00730000296608,164.3515625,548,2,500,12878,0.10323046092184368,sparse
Kruskal_Optimized,77.58349999494385,164.3515625,548,3,500,12878,0.10323046092184368,sparse
Prim_Classic,1318.2277000014437,3879.46875,715,1,700,25219,0.10308195381156754,sparse
Prim_Classic,1462.6523000042653,3879.46875,715,2,700,25219,0.10308195381156754,sparse
Prim_Classic,1239.3182999949204,3879.46875,715,3,700,25219,0.10308195381156754,sparse
Prim_Optimized,126.30080000235466,1421.59375,715,1,700,25219,0.10308195381156754,sparse
Prim_Optimized,163.06400000030408,1421.5390625,715,2,700,25219,0.10308195381156754,sparse
Prim_Optimized,76.57530000142287,1421.5390625,715,3,700,25219,0.10308195381156754,sparse
Kruskal_Classic,362.7093999966746,458.1640625,715,1,700,25219,0.10308195381156754,sparse
Kruskal_Classic,357.05179999786196,458.1640625,715,2,700,25219,0.10308195381156754,sparse
Kruskal_Classic,426.70109999744454,458.1640625,715,3,700,25219,0.10308195381156754,sparse
Kruskal_Optimized,223.72689999610884,316.015625,715,1,700,25219,0.10308195381156754,sparse
Kruskal_Optimized,233.5352000009152,315.953125,715,2,700,25219,0.10308195381156754,sparse
Kruskal_Optimized,227.09780000150204,315.953125,715,3,700,25219,0.10308195381156754,sparse
Prim_Classic,3.999400003522169,82.0,146,1,100,1271,0.25676767676767676,medium
Prim_Classic,1.9739999988814816,82.0,146,2,100,1271,0.25676767676767676,medium
Prim_Classic,2.9506999999284744,82.0,146,3,100,1271,0.25676767676767676,medium
Prim_Optimized,1.4404999965336174,19.9296875,146,1,100,1271,0.25676767676767676,medium
Prim_Optimized,0.9499000007053837,19.9296875,146,2,100,1271,0.25676767676767676,medium
Prim_Optimized,0.8256000000983477,19.9296875,146,3,100,1271,0.25676767676767676,medium
Kruskal_Classic,17.2487000018009,36.7734375,146,1,100,1271,0.25676767676767676,medium
Kruskal_Classic,56.49519999860786,36.7734375,146,2,100,1271,0.25676767676767676,medium
Kruskal_Classic,15.753899999253917,36.7734375,146,3,100,1271,0.25676767676767676,medium
Kruskal_Optimized,5.10260000010021,16.84375,146,1,100,1271,0.25676767676767676,medium
Kruskal_Optimized,38.05070000089472,16.84375,146,2,100,1271,0.25676767676767676,medium
Kruskal_Optimized,63.92520000372315,16.84375,146,3,100,1271,0.25676767676767676,medium
Prim_Classic,12.117799997213297,324.125,215,1,200,5155,0.2590452261306533,medium
Prim_Classic,30.06230000028154,324.125,215,2,200,5155,0.2590452261306533,medium
Prim_Classic,10.777100003906526,324.125,215,3,200,5155,0.2590452261306533,medium
Prim_Optimized,20.18859999952838,206.8203125,215,1,200,5155,0.2590452261306533,medium
Prim_Optimized,44.730000001436565,206.765625,215,2,200,5155,0.2590452261306533,medium
Prim_Optimized,12.532699998700991,206.765625,215,3,200,5155,0.2590452261306533,medium
