graph_type,nodes,algorithm,median_time_ms,median_memory_kb,median_mst_weight,edges,density_ratio
dense,100,Kruskal_Classic,18.988600000739098,51.3515625,115.0,2522.0,0.5094949494949494
dense,100,Kruskal_Optimized,13.48370000050636,31.421875,115.0,2522.0,0.5094949494949494
dense,100,Prim_Classic,2.1254000021144748,82.0,115.0,2522.0,0.5094949494949494
dense,100,Prim_Optimized,1.7571999997016974,47.6171875,115.0,2522.0,0.5094949494949494
dense,200,Kruskal_Classic,125.18229999841424,159.25,200.0,10007.0,0.5028643216080402
dense,200,Kruskal_Optimized,72.22470000124304,119.0703125,200.0,10007.0,0.5028643216080402
dense,200,Prim_Classic,23.8314000016544,324.125,200.0,10007.0,0.5028643216080402
dense,200,Prim_Optimized,36.972900001273956,504.109375,200.0,10007.0,0.5028643216080402
dense,350,Kruskal_Classic,217.38789999653818,432.671875,349.0,30642.0,0.5017110110519852
dense,350,Kruskal_Optimized,278.58310000010533,362.0078125,349.0,30642.0,0.5017110110519852
dense,350,Prim_Classic,113.3611999975983,980.578125,349.0,30642.0,0.5017110110519852
dense,350,Prim_Optimized,91.41420000378275,1764.21875,349.0,30642.0,0.5017110110519852
dense,500,Kruskal_Classic,439.1488000037498,838.6953125,499.0,62616.0,0.5019318637274549
dense,500,Kruskal_Optimized,408.34869999525836,737.421875,499.0,62616.0,0.5019318637274549
dense,500,Prim_Classic,454.93249999708496,1988.53125,499.0,62616.0,0.5019318637274549
dense,500,Prim_Optimized,152.1396999960416,3672.828125,499.0,62616.0,0.5019318637274549
dense,700,Kruskal_Classic,589.2882000043755,1582.4609375,699.0,122760.0,0.5017780502759044
dense,700,Kruskal_Optimized,545.990200000233,1440.25,699.0,122760.0,0.5017780502759044
dense,700,Prim_Classic,1330.5506999968202,3879.46875,699.0,122760.0,0.5017780502759044
dense,700,Prim_Optimized,435.59149999782676,7302.0,699.0,122760.0,0.5017780502759044
medium,100,Kruskal_Classic,17.2487000018009,36.7734375,146.0,1271.0,0.25676767676767676
medium,100,Kruskal_Optimized,38.05070000089472,16.84375,146.0,1271.0,0.25676767676767676
medium,100,Prim_Classic,2.9506999999284744,82.0,146.0,1271.0,0.25676767676767676
medium,100,Prim_Optimized,0.9499000007053837,19.9296875,146.0,1271.0,0.25676767676767676
medium,200,Kruskal_Classic,59.041300002718344,103.390625,215.0,5155.0,0.2590452261306533
medium,200,Kruskal_Optimized,48.548200000368524,63.2109375,215.0,5155.0,0.2590452261306533
medium,200,Prim_Classic,12.117799997213297,324.125,215.0,5155.0,0.2590452261306533
medium,200,Prim_Optimized,20.18859999952838,206.765625,215.0,5155.0,0.2590452261306533
medium,350,Kruskal_Classic,230.9324000016204,259.0859375,353.0,15564.0,0.2548342202210397
medium,350,Kruskal_Optimized,148.89940000284696,188.421875,353.0,15564.0,0.2548342202210397
medium,350,Prim_Classic,271.6608999980963,980.578125,353.0,15564.0,0.2548342202210397
medium,350,Prim_Optimized,134.2923000047449,855.1640625,353.0,15564.0,0.2548342202210397
medium,500,Kruskal_Classic,207.89829999557696,481.7578125,500.0,31632.0,0.253563126252505
medium,500,Kruskal_Optimized,235.48430000664666,380.484375,500.0,31632.0,0.253563126252505
medium,500,Prim_Classic,622.6652000041213,1988.53125,500.0,31632.0,0.253563126252505
medium,500,Prim_Optimized,113.37360000470653,1813.0,500.0,31632.0,0.253563126252505
medium,700,Kruskal_Classic,474.21019999455893,882.1640625,699.0,61971.0,0.2533047210300429
medium,700,Kruskal_Optimized,622.7326000007452,739.953125,699.0,61971.0,0.2533047210300429
medium,700,Prim_Classic,1178.7939999994705,3879.46875,699.0,61971.0,0.2533047210300429
medium,700,Prim_Optimized,171.54860000300687,3641.546875,699.0,61971.0,0.2533047210300429
sparse,100,Kruskal_Classic,10.920700005954131,28.6328125,263.0,565.0,0.11414141414141414
sparse,100,Kruskal_Optimized,1.8939000001410022,8.703125,263.0,565.0,0.11414141414141414
sparse,100,Prim_Classic,2.7992000032099895,82.03125,263.0,565.0,0.11414141414141414
sparse,100,Prim_Optimized,0.4838999957428314,13.7734375,263.0,565.0,0.11414141414141414
sparse,200,Kruskal_Classic,24.707699994905852,68.78125,338.0,2149.0,0.10798994974874372
sparse,200,Kruskal_Optimized,25.2256000021589,28.6015625,338.0,2149.0,0.10798994974874372
sparse,200,Prim_Classic,10.152800001378637,324.15625,338.0,2149.0,0.10798994974874372
sparse,200,Prim_Optimized,2.9246000049170107,24.0390625,338.0,2149.0,0.10798994974874372
sparse,350,Kruskal_Classic,90.54139999352628,153.765625,440.0,6436.0,0.10537863282848957
sparse,350,Kruskal_Optimized,33.03020000021206,83.1015625,440.0,6436.0,0.10537863282848957
sparse,350,Prim_Classic,187.40560000151163,980.578125,440.0,6436.0,0.10537863282848957
sparse,350,Prim_Optimized,21.33680000406457,306.453125,440.0,6436.0,0.10537863282848957
sparse,500,Kruskal_Classic,140.73789999383735,265.625,548.0,12878.0,0.10323046092184368
sparse,500,Kruskal_Optimized,81.00730000296608,164.3515625,548.0,12878.0,0.10323046092184368
sparse,500,Prim_Classic,602.2893999979715,1988.53125,548.0,12878.0,0.10323046092184368
sparse,500,Prim_Optimized,61.92880000162404,692.625,548.0,12878.0,0.10323046092184368
sparse,700,Kruskal_Classic,362.7093999966746,458.1640625,715.0,25219.0,0.10308195381156754
sparse,700,Kruskal_Optimized,227.09780000150204,315.953125,715.0,25219.0,0.10308195381156754
sparse,700,Prim_Classic,1318.2277000014437,3879.46875,715.0,25219.0,0.10308195381156754
sparse,700,Prim_Optimized,126.30080000235466,1421.5390625,715.0,25219.0,0.10308195381156754
