graph_type  nodes         algorithm  median_time_ms  median_memory_kb  median_mst_weight    edges  density_ratio
     dense    100   Kruskal_Classic         18.9886         51.351562              115.0   2522.0       0.509495
     dense    100 Kruskal_Optimized         13.4837         31.421875              115.0   2522.0       0.509495
     dense    100      Prim_Classic          2.1254         82.000000              115.0   2522.0       0.509495
     dense    100    Prim_Optimized          1.7572         47.617188              115.0   2522.0       0.509495
     dense    200   Kruskal_Classic        125.1823        159.250000              200.0  10007.0       0.502864
     dense    200 Kruskal_Optimized         72.2247        119.070312              200.0  10007.0       0.502864
     dense    200      Prim_Classic         23.8314        324.125000              200.0  10007.0       0.502864
     dense    200    Prim_Optimized         36.9729        504.109375              200.0  10007.0       0.502864
     dense    350   Kruskal_Classic        217.3879        432.671875              349.0  30642.0       0.501711
     dense    350 Kruskal_Optimized        278.5831        362.007812              349.0  30642.0       0.501711
     dense    350      Prim_Classic        113.3612        980.578125              349.0  30642.0       0.501711
     dense    350    Prim_Optimized         91.4142       1764.218750              349.0  30642.0       0.501711
     dense    500   Kruskal_Classic        439.1488        838.695312              499.0  62616.0       0.501932
     dense    500 Kruskal_Optimized        408.3487        737.421875              499.0  62616.0       0.501932
     dense    500      Prim_Classic        454.9325       1988.531250              499.0  62616.0       0.501932
     dense    500    Prim_Optimized        152.1397       3672.828125              499.0  62616.0       0.501932
     dense    700   Kruskal_Classic        589.2882       1582.460938              699.0 122760.0       0.501778
     dense    700 Kruskal_Optimized        545.9902       1440.250000              699.0 122760.0       0.501778
     dense    700      Prim_Classic       1330.5507       3879.468750              699.0 122760.0       0.501778
     dense    700    Prim_Optimized        435.5915       7302.000000              699.0 122760.0       0.501778
    medium    100   Kruskal_Classic         17.2487         36.773438              146.0   1271.0       0.256768
    medium    100 Kruskal_Optimized         38.0507         16.843750              146.0   1271.0       0.256768
    medium    100      Prim_Classic          2.9507         82.000000              146.0   1271.0       0.256768
    medium    100    Prim_Optimized          0.9499         19.929688              146.0   1271.0       0.256768
    medium    200   Kruskal_Classic         59.0413        103.390625              215.0   5155.0       0.259045
    medium    200 Kruskal_Optimized         48.5482         63.210938              215.0   5155.0       0.259045
    medium    200      Prim_Classic         12.1178        324.125000              215.0   5155.0       0.259045
    medium    200    Prim_Optimized         20.1886        206.765625              215.0   5155.0       0.259045
    medium    350   Kruskal_Classic        230.9324        259.085938              353.0  15564.0       0.254834
    medium    350 Kruskal_Optimized        148.8994        188.421875              353.0  15564.0       0.254834
    medium    350      Prim_Classic        271.6609        980.578125              353.0  15564.0       0.254834
    medium    350    Prim_Optimized        134.2923        855.164062              353.0  15564.0       0.254834
    medium    500   Kruskal_Classic        207.8983        481.757812              500.0  31632.0       0.253563
    medium    500 Kruskal_Optimized        235.4843        380.484375              500.0  31632.0       0.253563
    medium    500      Prim_Classic        622.6652       1988.531250              500.0  31632.0       0.253563
    medium    500    Prim_Optimized        113.3736       1813.000000              500.0  31632.0       0.253563
    medium    700   Kruskal_Classic        474.2102        882.164062              699.0  61971.0       0.253305
    medium    700 Kruskal_Optimized        622.7326        739.953125              699.0  61971.0       0.253305
    medium    700      Prim_Classic       1178.7940       3879.468750              699.0  61971.0       0.253305
    medium    700    Prim_Optimized        171.5486       3641.546875              699.0  61971.0       0.253305
    sparse    100   Kruskal_Classic         10.9207         28.632812              263.0    565.0       0.114141
    sparse    100 Kruskal_Optimized          1.8939          8.703125              263.0    565.0       0.114141
    sparse    100      Prim_Classic          2.7992         82.031250              263.0    565.0       0.114141
    sparse    100    Prim_Optimized          0.4839         13.773438              263.0    565.0       0.114141
    sparse    200   Kruskal_Classic         24.7077         68.781250              338.0   2149.0       0.107990
    sparse    200 Kruskal_Optimized         25.2256         28.601562              338.0   2149.0       0.107990
    sparse    200      Prim_Classic         10.1528        324.156250              338.0   2149.0       0.107990
    sparse    200    Prim_Optimized          2.9246         24.039062              338.0   2149.0       0.107990
    sparse    350   Kruskal_Classic         90.5414        153.765625              440.0   6436.0       0.105379
    sparse    350 Kruskal_Optimized         33.0302         83.101562              440.0   6436.0       0.105379
    sparse    350      Prim_Classic        187.4056        980.578125              440.0   6436.0       0.105379
    sparse    350    Prim_Optimized         21.3368        306.453125              440.0   6436.0       0.105379
    sparse    500   Kruskal_Classic        140.7379        265.625000              548.0  12878.0       0.103230
    sparse    500 Kruskal_Optimized         81.0073        164.351562              548.0  12878.0       0.103230
    sparse    500      Prim_Classic        602.2894       1988.531250              548.0  12878.0       0.103230
    sparse    500    Prim_Optimized         61.9288        692.625000              548.0  12878.0       0.103230
    sparse    700   Kruskal_Classic        362.7094        458.164062              715.0  25219.0       0.103082
    sparse    700 Kruskal_Optimized        227.0978        315.953125              715.0  25219.0       0.103082
    sparse    700      Prim_Classic       1318.2277       3879.468750              715.0  25219.0       0.103082
    sparse    700    Prim_Optimized        126.3008       1421.539062              715.0  25219.0       0.103082
